typeID,regionID,date,lowPrice,highPrice,avgPrice,volume,orders
34,10000002,2015-05-07,5.23,5.32,5.28,9308340910,2139
35,10000002,2015-05-07,11.22,11.48,11.4,1312410405,1426
35,10000002,2015-05-08,11.36,11.42,11.39,2066722924,1435
444,10000002,2015-05-08,3711.02,3711.02,3711.02,1199,75
34,10000002,2015-05-08,5.24,5.39,5.32,13321208128,2092
34,10000002,2015-05-09,5.24,5.36,5.34,9740098144,2266
444,10000002,2015-05-09,3712.0,6999.99,3712.0,1895,89
35,10000002,2015-05-09,11.21,11.46,11.42,2243908783,1611
444,10000002,2015-05-10,3701.0,3701.02,3701.01,492,89
35,10000002,2015-05-10,11.19,11.34,11.27,2108350124,1658
34,10000002,2015-05-10,5.19,5.36,5.23,12277556922,2375
35,10000002,2015-05-11,11.12,11.22,11.19,2456170267,1466
444,10000002,2015-05-11,6899.99,6899.99,6899.99,1006,80
34,10000002,2015-05-11,5.16,5.28,5.24,10983775297,2274
35,10000002,2015-05-12,11.06,11.1,11.09,2526407440,1507
34,10000002,2015-05-12,5.25,5.36,5.29,11902916131,2269
444,10000002,2015-05-12,3709.09,7199.0,7198.0,298,62
35,10000002,2015-05-13,11.11,11.18,11.17,2270563098,1290
444,10000002,2015-05-13,7198.0,30000.0,7768.4,100,55
34,10000002,2015-05-13,5.26,5.4,5.32,12504144226,1943
444,10000002,2015-05-14,7197.0,7197.0,7197.0,232,67
34,10000002,2015-05-14,5.28,5.39,5.35,10853963044,2303
35,10000002,2015-05-14,11.11,11.39,11.24,2694244239,1593
34,10000002,2015-05-15,5.2,5.31,5.23,10972932972,2075
35,10000002,2015-05-15,11.05,11.5,11.2,1660644860,1429
444,10000002,2015-05-15,7197.0,7197.0,7197.0,762,72
34,10000002,2015-05-16,5.19,5.3,5.28,11775537160,2331
35,10000002,2015-05-16,11.24,11.46,11.42,2518710438,1590
444,10000002,2015-05-16,3715.0,6900.0,6500.0,116,77
35,10000002,2015-05-17,11.15,11.45,11.41,2286849979,1598
444,10000002,2015-05-17,4000.0,28000.0,5350.6687,55,34
34,10000002,2015-05-17,5.21,5.48,5.27,13773067288,2434
34,10000002,2015-05-18,5.18,5.32,5.24,12704508009,2106
35,10000002,2015-05-18,11.07,11.45,11.38,2286008553,1430
34,10000002,2015-05-19,5.2,5.32,5.26,13429445729,2008
35,10000002,2015-05-19,11.29,11.43,11.4,2122023283,1370
35,10000002,2015-05-20,11.21,11.47,11.43,2602635311,1431
34,10000002,2015-05-20,5.22,5.32,5.3,7658695259,1933
35,10000002,2015-05-21,11.13,11.22,11.18,2550553228,1322
34,10000002,2015-05-21,5.19,5.25,5.22,12033275689,1890
34,10000002,2015-05-22,5.28,5.43,5.4,17891402196,1871
35,10000002,2015-05-22,11.19,11.32,11.24,1780131732,1249
444,10000002,2015-05-23,5200.0,5200.0,5200.0,574,91
34,10000002,2015-05-23,5.25,5.3,5.28,8265783740,2058
35,10000002,2015-05-23,10.81,11.19,11.03,2122792665,1481
444,10000002,2015-05-24,4101.0,4101.0,4101.0,205,75
456,10000002,2015-05-24,66302.21,99989.9,77347.66,61,16
34,10000002,2015-05-24,5.26,5.37,5.33,14854555385,2401
35,10000002,2015-05-24,11.17,11.21,11.19,2283608095,1624
35,10000002,2015-05-25,11.07,11.25,11.21,2452653250,1556
456,10000002,2015-05-25,66302.21,99989.85,93252.32,5,2
34,10000002,2015-05-25,5.27,5.38,5.3,11492551353,2232
444,10000002,2015-05-25,4101.0,4101.0,4101.0,693,79
34,10000002,2015-05-26,5.32,5.43,5.38,9639369720,1944
444,10000002,2015-05-26,3712.0,33999.99,5415.6611,62,22
35,10000002,2015-05-26,11.08,11.32,11.27,2055382377,1359
35,10000002,2015-05-27,11.18,11.26,11.25,1897285576,1319
34,10000002,2015-05-27,5.27,5.4,5.34,12648015705,1912
34,10000002,2015-05-28,5.32,5.43,5.35,13219391934,1945
35,10000002,2015-05-28,11.04,11.21,11.11,2232544836,1316
35,10000002,2015-05-29,11.07,11.16,11.11,2004239595,1215
34,10000002,2015-05-29,5.32,5.35,5.33,10890493938,1754
35,10000002,2015-05-30,11.04,11.27,11.17,2364128004,1505
34,10000002,2015-05-30,5.26,5.38,5.35,10328546136,2136
34,10000002,2015-05-31,5.26,5.33,5.29,9179349912,2279
35,10000002,2015-05-31,11.02,11.23,11.12,2061344364,1581
35,10000002,2015-06-01,11.09,11.21,11.17,2088418002,1326
34,10000002,2015-06-01,5.17,5.33,5.23,25735487080,1964
34,10000002,2015-06-02,5.15,5.26,5.22,9682533406,1816
35,10000002,2015-06-02,10.99,11.17,11.14,1299319182,1176
35,10000002,2015-06-03,10.86,11.12,11.1,1638572566,1339
34,10000002,2015-06-03,5.19,5.22,5.21,10052537707,1915
34,10000002,2015-06-04,5.23,5.3,5.29,8931022330,1943
35,10000002,2015-06-04,10.98,11.11,11.09,2294617949,1323
35,10000002,2015-06-05,3.0,24.9,11.07,1363174573,847
34,10000002,2015-06-05,3.27,10.6,5.25,6697446265,1225
