date,highPrice,lowPrice,avgPrice
2015-05-10,5.36,5.19,5.23
2015-05-11,5.28,5.16,5.24
2015-05-12,5.36,5.25,5.29
2015-05-13,5.4,5.26,5.32
2015-05-14,5.39,5.28,5.35
2015-05-15,5.31,5.2,5.23
2015-05-16,5.3,5.19,5.28
2015-05-17,5.48,5.21,5.27
2015-05-18,5.32,5.18,5.24
2015-05-19,5.32,5.2,5.26
2015-05-20,5.32,5.22,5.3
2015-05-21,5.25,5.19,5.22
2015-05-22,5.43,5.28,5.4
2015-05-23,5.3,5.25,5.28
2015-05-24,5.37,5.26,5.33
2015-05-25,5.38,5.27,5.3
2015-05-26,5.43,5.32,5.38
2015-05-27,5.4,5.27,5.34
2015-05-28,5.43,5.32,5.35
2015-05-29,5.35,5.32,5.33
2015-05-30,5.38,5.26,5.35
2015-05-31,5.33,5.26,5.29
2015-06-01,5.33,5.17,5.23
2015-06-02,5.26,5.15,5.22
2015-06-03,5.22,5.19,5.21
2015-06-04,5.3,5.23,5.29
2015-06-05,5.3,5.22,5.25
2015-06-06,5.32,5.23,5.28
2015-06-07,5.31,5.25,5.29
